	Time [s]	T_couche_0,3mm_milieu_couche1 [°C]	
1	1,e-004	209,88	
2	2,e-004	209,75	
3	5,e-004	209,38	
4	1,e-003	208,76	
5	5,1e-002	170,29	
6	0,101	143,96	
7	0,151	124,69	
8	0,201	109,93	
9	0,251	98,339	
10	0,301	89,092	
11	0,351	81,655	
12	0,401	75,646	
13	0,451	70,78	
14	0,501	66,834	
15	0,551	63,633	
16	0,601	61,035	
17	0,651	58,926	
18	0,701	57,213	
19	0,751	55,823	
20	0,801	54,694	
21	0,851	53,777	
22	0,901	53,033	
23	0,951	52,622	
24	1,001	52,324	
25	1,051	52,087	
26	1,101	51,898	
27	1,151	51,748	
28	1,201	51,628	
29	1,251	51,532	
30	1,301	51,455	
31	1,351	51,394	
32	1,401	51,345	
33	1,451	51,306	
34	1,501	51,274	
35	1,551	51,249	
36	1,601	51,229	
37	1,701	51,202	
38	1,901	51,174	
39	2,201	51,158	
40	2,501	51,151	
41	2,801	51,149	
42	3,101	51,147	
43	3,401	51,147	
44	3,701	51,147	
45	4,001	51,147	
46	4,301	51,147	
47	4,601	51,147	
48	4,901	51,147	
49	5,201	51,147	
50	5,501	51,147	
51	5,801	51,147	
52	6,001	51,147	
53	6,0011	51,27	
54	6,0012	51,394	
55	6,0013	51,517	
56	6,0014	51,64	
57	6,0015	51,763	
58	6,0016	51,886	
59	6,0017	52,008	
60	6,0018	52,131	
61	6,0019	52,253	
62	6,002	52,375	
63	6,003	53,566	
64	6,004	54,731	
65	6,005	55,87	
66	6,006	56,984	
67	6,007	58,072	
68	6,008	59,136	
69	6,009	60,175	
70	6,01	61,192	
71	6,011	62,185	
72	6,012	63,156	
73	6,013	64,104	
74	6,014	65,032	
75	6,015	65,938	
76	6,016	66,823	
77	6,017	67,688	
78	6,018	68,534	
79	6,019	69,36	
80	6,02	70,167	
81	6,021	70,955	
82	6,022	71,725	
83	6,023	72,478	
84	6,024	73,213	
85	6,025	73,931	
86	6,026	74,632	
87	6,027	75,317	
88	6,028	75,986	
89	6,029	76,639	
90	6,03	77,276	
91	6,031	77,899	
92	6,032	78,507	
93	6,033	79,101	
94	6,034	79,68	
95	6,035	80,246	
96	6,036	80,811	
97	6,037	81,374	
98	6,038	81,924	
99	6,039	82,462	
100	6,04	82,987	
101	6,041	83,524	
102	6,042	84,048	
103	6,043	84,561	
104	6,044	85,063	
105	6,045	85,553	
106	6,046	86,032	
107	6,047	86,501	
108	6,048	86,959	
109	6,049	87,407	
110	6,05	87,845	
111	6,051	88,272	
112	6,052	88,69	
113	6,053	89,099	
114	6,054	89,498	
115	6,055	89,887	
116	6,056	90,268	
117	6,057	90,64	
118	6,058	91,003	
119	6,059	91,358	
120	6,06	91,704	
121	6,061	92,042	
122	6,062	92,372	
123	6,063	92,695	
124	6,064	93,009	
125	6,065	93,316	
126	6,066	93,615	
127	6,067	93,907	
128	6,068	94,192	
129	6,069	94,47	
130	6,07	94,742	
131	6,071	95,006	
132	6,072	95,264	
133	6,073	95,515	
134	6,074	95,76	
135	6,075	95,998	
136	6,076	96,231	
137	6,077	96,457	
138	6,078	96,678	
139	6,079	96,893	
140	6,08	97,102	
141	6,081	97,305	
142	6,082	97,503	
143	6,083	97,696	
144	6,084	97,884	
145	6,085	98,066	
146	6,086	98,243	
147	6,087	98,416	
148	6,088	98,583	
149	6,089	98,746	
150	6,09	98,904	
151	6,091	99,058	
152	6,092	99,207	
153	6,093	99,352	
154	6,094	99,492	
155	6,095	99,628	
156	6,096	99,76	
157	6,097	99,888	
158	6,098	100,01	
159	6,099	100,13	
160	6,1	100,25	
161	6,15	101,32	
