	Time [s]	T_couche2supp [°C]	
1	1,e-004	63,003	
2	2,e-004	63,003	
3	5,e-004	63,003	
4	1,e-003	63,003	
5	5,1e-002	63,002	
6	0,101	63,002	
7	0,151	63,002	
8	0,201	63,001	
9	0,251	63,001	
10	0,301	63,001	
11	0,351	63,001	
12	0,401	63,001	
13	0,451	63,001	
14	0,501	63,	
15	0,551	63,	
16	0,601	63,	
17	0,651	63,	
18	0,701	63,	
19	0,751	63,	
20	0,801	63,	
21	0,851	63,	
22	0,901	63,	
23	0,951	63,	
24	1,001	63,	
25	1,051	63,	
26	1,101	63,	
27	1,151	63,	
28	1,201	63,	
29	1,251	63,	
30	1,301	63,	
31	1,351	63,	
32	1,401	63,	
33	1,451	63,	
34	1,501	63,	
35	1,551	63,	
36	1,601	63,	
37	1,701	63,	
38	1,901	63,	
39	2,201	63,	
40	2,501	63,	
41	2,801	63,	
42	3,101	63,	
43	3,401	63,	
44	3,701	63,	
45	4,001	63,	
46	4,301	63,	
47	4,601	63,	
48	4,901	63,	
49	5,201	63,	
50	5,501	63,	
51	5,801	63,	
52	6,001	63,	
53	6,0011	210,	
54	6,0012	210,	
55	6,0013	210,	
56	6,0014	210,	
57	6,0015	210,	
58	6,0016	210,	
59	6,0017	210,	
60	6,0018	210,	
61	6,0019	210,	
62	6,002	210,	
63	6,003	209,98	
64	6,004	209,97	
65	6,005	209,95	
66	6,006	209,93	
67	6,007	209,92	
68	6,008	209,9	
69	6,009	209,88	
70	6,01	209,87	
71	6,011	209,85	
72	6,012	209,83	
73	6,013	209,81	
74	6,014	209,79	
75	6,015	209,78	
76	6,016	209,76	
77	6,017	209,74	
78	6,018	209,71	
79	6,019	209,69	
80	6,02	209,67	
81	6,021	209,65	
82	6,022	209,63	
83	6,023	209,61	
84	6,024	209,59	
85	6,025	209,56	
86	6,026	209,54	
87	6,027	209,52	
88	6,028	209,49	
89	6,029	209,46	
90	6,03	209,44	
91	6,031	209,41	
92	6,032	209,37	
93	6,033	209,34	
94	6,034	209,31	
95	6,035	209,27	
96	6,036	209,24	
97	6,037	209,2	
98	6,038	209,16	
99	6,039	209,11	
100	6,04	209,07	
101	6,041	209,02	
102	6,042	208,98	
103	6,043	208,93	
104	6,044	208,87	
105	6,045	208,82	
106	6,046	208,76	
107	6,047	208,71	
108	6,048	208,65	
109	6,049	208,59	
110	6,05	208,52	
111	6,051	208,46	
112	6,052	208,39	
113	6,053	208,32	
114	6,054	208,25	
115	6,055	208,17	
116	6,056	208,1	
117	6,057	208,02	
118	6,058	207,94	
119	6,059	207,86	
120	6,06	207,77	
121	6,061	207,69	
122	6,062	207,6	
123	6,063	207,51	
124	6,064	207,41	
125	6,065	207,32	
126	6,066	207,22	
127	6,067	207,13	
128	6,068	207,03	
129	6,069	206,92	
130	6,07	206,82	
131	6,071	206,71	
132	6,072	206,61	
133	6,073	206,5	
134	6,074	206,39	
135	6,075	206,27	
136	6,076	206,16	
137	6,077	206,04	
138	6,078	205,92	
139	6,079	205,8	
140	6,08	205,68	
141	6,081	205,56	
142	6,082	205,44	
143	6,083	205,33	
144	6,084	205,2	
145	6,085	205,08	
146	6,086	204,96	
147	6,087	204,84	
148	6,088	204,71	
149	6,089	204,58	
150	6,09	204,45	
151	6,091	204,32	
152	6,092	204,19	
153	6,093	204,06	
154	6,094	203,93	
155	6,095	203,79	
156	6,096	203,66	
157	6,097	203,52	
158	6,098	203,38	
159	6,099	203,24	
160	6,1	203,1	
161	6,15	194,95	
162	6,2	186,56	
163	6,25	178,34	
164	6,3	170,51	
165	6,35	163,11	
166	6,4	156,16	
167	6,45	149,65	
168	6,5	143,54	
