	Time [s]	Minimum [°C]	Maximum [°C]	Average [°C]	
1	1,e-004	20,839	210,	118,66	
2	2,e-004	20,839	210,	118,63	
3	5,e-004	20,839	209,99	118,55	
4	1,e-003	20,839	209,97	118,41	
5	5,1e-002	20,839	192,03	106,49	
6	0,101	20,839	170,49	96,393	
7	0,151	20,839	150,	88,033	
8	0,201	20,839	132,09	81,182	
9	0,251	20,839	116,99	75,598	
10	0,301	20,839	104,5	71,058	
11	0,351	20,839	94,262	67,373	
12	0,401	20,839	85,903	64,384	
13	0,451	20,839	79,098	61,959	
14	0,501	20,839	73,564	59,994	
15	0,551	20,839	69,068	58,4	
16	0,601	20,839	65,416	57,108	
17	0,651	20,839	63,	56,061	
18	0,701	20,839	63,	55,211	
19	0,751	20,839	63,	54,523	
20	0,801	20,839	63,	53,964	
21	0,851	20,839	63,	53,511	
22	0,901	20,839	63,	53,144	
23	0,951	20,839	63,	52,846	
24	1,001	20,839	63,	52,605	
25	1,051	20,839	63,	52,409	
26	1,101	20,839	63,	52,25	
27	1,151	20,839	63,	52,121	
28	1,201	20,839	63,	52,016	
29	1,251	20,839	63,	51,932	
30	1,301	20,839	63,	51,863	
31	1,351	20,839	63,	51,807	
32	1,401	20,839	63,	51,762	
33	1,451	20,839	63,	51,725	
34	1,501	20,839	63,	51,696	
35	1,551	20,839	63,	51,671	
36	1,601	20,839	63,	51,652	
37	1,701	20,839	63,	51,625	
38	1,901	20,839	63,	51,597	
39	2,201	20,839	63,	51,58	
40	2,501	20,839	63,	51,573	
41	2,801	20,839	63,	51,57	
42	3,101	20,839	63,	51,569	
43	3,401	20,839	63,	51,568	
44	3,701	20,839	63,	51,568	
45	4,001	20,839	63,	51,568	
46	4,301	20,839	63,	51,568	
47	4,601	20,839	63,	51,568	
48	4,901	20,839	63,	51,568	
49	5,201	20,839	63,	51,568	
50	5,501	20,839	63,	51,568	
51	5,801	20,839	63,	51,568	
52	6,001	20,839	63,	51,568	
53	6,0011	49,945	210,	148,99	
54	6,0012	50,	210,	149,01	
55	6,0013	50,	210,	149,04	
56	6,0014	50,	210,	149,06	
57	6,0015	50,	210,	149,08	
58	6,0016	50,	210,	149,1	
59	6,0017	50,	210,	149,12	
60	6,0018	50,	210,	149,14	
61	6,0019	50,	210,	149,16	
62	6,002	50,	210,	149,18	
63	6,003	50,	210,01	149,19	
64	6,004	50,	210,01	149,19	
65	6,005	50,	210,03	149,19	
66	6,006	50,	210,04	149,19	
67	6,007	50,	210,06	149,18	
68	6,008	50,	210,07	149,18	
69	6,009	50,	210,08	149,16	
70	6,01	50,	210,1	149,15	
71	6,011	50,	210,11	149,13	
72	6,012	50,	210,12	149,12	
73	6,013	50,	210,13	149,1	
74	6,014	50,	210,13	149,07	
75	6,015	50,	210,13	149,05	
76	6,016	50,	210,13	149,02	
77	6,017	50,	210,12	148,99	
78	6,018	50,	210,11	148,96	
79	6,019	50,	210,1	148,92	
80	6,02	50,	210,08	148,88	
81	6,021	50,	210,06	148,85	
82	6,022	50,	210,03	148,81	
83	6,023	50,	210,	148,76	
84	6,024	50,	209,97	148,72	
85	6,025	50,	209,93	148,67	
86	6,026	50,	209,89	148,62	
87	6,027	50,	209,84	148,57	
88	6,028	50,	209,79	148,52	
89	6,029	50,	209,73	148,47	
90	6,03	50,	209,67	148,41	
91	6,031	50,	209,61	148,36	
92	6,032	50,	209,54	148,3	
93	6,033	50,	209,47	148,24	
94	6,034	50,	209,4	148,18	
95	6,035	50,	209,32	148,11	
96	6,036	50,	209,24	148,05	
97	6,037	50,	209,2	147,98	
98	6,038	50,	209,16	147,92	
99	6,039	50,	209,11	147,85	
100	6,04	50,	209,07	147,78	
101	6,041	50,	209,02	147,71	
102	6,042	50,	208,98	147,63	
103	6,043	50,	208,93	147,56	
104	6,044	50,	208,87	147,48	
105	6,045	50,	208,82	147,41	
106	6,046	50,	208,76	147,33	
107	6,047	50,	208,71	147,25	
108	6,048	50,	208,65	147,17	
109	6,049	50,	208,59	147,09	
110	6,05	50,	208,52	147,01	
111	6,051	50,	208,46	146,93	
112	6,052	50,	208,39	146,84	
113	6,053	50,	208,32	146,76	
114	6,054	50,	208,25	146,67	
115	6,055	50,	208,17	146,59	
116	6,056	50,	208,1	146,5	
117	6,057	50,	208,02	146,41	
118	6,058	50,	207,94	146,32	
119	6,059	50,	207,86	146,23	
120	6,06	50,	207,77	146,14	
121	6,061	50,	207,69	146,05	
122	6,062	50,	207,6	145,96	
123	6,063	50,	207,51	145,86	
124	6,064	50,	207,41	145,77	
125	6,065	50,	207,32	145,67	
126	6,066	50,	207,22	145,58	
127	6,067	50,	207,13	145,48	
128	6,068	50,	207,03	145,39	
129	6,069	50,	206,92	145,29	
130	6,07	50,	206,82	145,19	
131	6,071	50,	206,71	145,09	
132	6,072	50,	206,61	144,99	
133	6,073	50,	206,5	144,89	
134	6,074	50,	206,39	144,79	
135	6,075	50,	206,27	144,69	
136	6,076	50,	206,16	144,59	
137	6,077	50,	206,04	144,49	
138	6,078	50,	205,92	144,39	
139	6,079	50,	205,8	144,28	
140	6,08	50,	205,68	144,18	
141	6,081	50,	205,56	144,07	
142	6,082	50,	205,44	143,97	
143	6,083	50,	205,33	143,86	
144	6,084	50,	205,2	143,76	
145	6,085	50,	205,08	143,65	
146	6,086	50,	204,96	143,55	
147	6,087	50,	204,84	143,44	
148	6,088	50,	204,71	143,33	
149	6,089	50,	204,58	143,23	
150	6,09	50,	204,45	143,12	
151	6,091	50,	204,32	143,01	
152	6,092	50,	204,19	142,9	
153	6,093	50,	204,06	142,79	
154	6,094	50,	203,93	142,68	
155	6,095	50,	203,79	142,57	
156	6,096	50,	203,66	142,47	
157	6,097	50,	203,52	142,36	
158	6,098	50,	203,38	142,25	
159	6,099	50,	203,24	142,13	
160	6,1	50,	203,1	142,02	
161	6,15	50,	194,95	136,4	
162	6,2	50,	186,56	130,94	
163	6,25	50,	178,34	125,75	
164	6,3	50,	170,51	120,86	
165	6,35	50,	163,11	116,28	
166	6,4	50,	156,16	111,99	
167	6,45	50,	149,65	107,98	
168	6,5	50,	143,54	104,24	
169	6,55	50,	137,81	100,74	
170	6,6	50,	132,43	97,47	
171	6,65	50,	127,38	94,417	
172	6,7	50,	122,65	91,564	
173	6,75	50,	118,27	88,897	
174	6,8	50,	114,15	86,406	
175	6,85	50,	110,28	84,077	
176	6,9	50,	106,64	81,901	
177	6,95	50,	103,22	79,866	
178	7,	50,	99,997	77,965	
179	7,05	50,	96,964	76,188	
180	7,1	50,	94,108	74,527	
181	7,15	50,	91,421	72,974	
182	7,2	50,	88,891	71,522	
183	7,25	50,	86,51	70,166	
184	7,3	50,	84,269	68,897	
185	7,35	50,	82,159	67,712	
186	7,4	50,	80,174	66,604	
187	7,45	50,	78,305	65,568	
188	7,5	50,	76,547	64,599	
189	7,55	50,	74,892	63,694	
190	7,6	50,	73,335	62,847	
191	7,65	50,	71,869	62,056	
192	7,7	50,	70,49	61,317	
193	7,75	50,	69,193	60,625	
194	7,8	50,	67,972	59,979	
195	7,85	50,	66,823	59,374	
196	7,9	50,	65,743	58,809	
197	7,95	50,	64,726	58,281	
198	8,	50,	63,77	57,787	
199	8,05	50,	63,	57,326	
200	8,1	50,	63,	56,894	
201	8,15	50,	63,	56,491	
202	8,2	50,	63,	56,113	
203	8,25	50,	63,	55,761	
204	8,3	50,	63,	55,431	
205	8,35	50,	63,	55,123	
206	8,4	50,	63,	54,834	
207	8,45	50,	63,	54,565	
208	8,5	50,	63,	54,313	
209	8,55	50,	63,	54,077	
210	8,6	50,	63,	53,857	
211	8,65	50,	63,	53,651	
212	8,7	50,	63,	53,459	
213	8,75	50,	63,	53,279	
214	8,8	50,	63,	53,11	
215	8,85	50,	63,	52,953	
216	8,9	50,	63,	52,806	
217	8,95	50,	63,	52,668	
218	9,	50,	63,	52,54	
219	9,05	50,	63,	52,419	
220	9,1	50,	63,	52,307	
221	9,15	50,	63,	52,202	
222	9,2	50,	63,	52,103	
223	9,25	50,	63,	52,011	
224	9,3	50,	63,	51,925	
225	9,35	50,	63,	51,845	
226	9,4	50,	63,	51,77	
227	9,45	50,	63,	51,699	
228	9,5	50,	63,	51,634	
229	9,55	50,	63,	51,572	
230	9,6	50,	63,	51,515	
231	9,65	50,	63,	51,461	
232	9,7	50,	63,	51,411	
233	9,75	50,	63,	51,364	
234	9,8	50,	63,	51,32	
235	9,85	50,	63,	51,279	
236	9,9	49,993	63,	51,24	
237	9,95	49,934	63,	51,204	
238	10,05	49,831	63,	51,141	
239	10,15	49,72	63,	51,086	
240	10,25	49,604	63,	51,037	
241	10,35	49,501	63,	50,994	
242	10,45	49,41	63,	50,957	
243	10,55	49,329	63,	50,924	
244	10,65	49,258	63,	50,895	
245	10,85	49,144	63,	50,849	
246	11,	49,072	63,	50,821	
247	11,001	49,072	63,	50,821	
248	11,002	49,071	63,	50,821	
249	11,003	49,071	63,	50,821	
250	11,005	49,07	63,	50,82	
251	11,009	49,068	63,	50,819	
252	11,014	49,066	63,	50,818	
253	11,019	49,063	63,	50,818	
254	11,024	49,061	63,	50,817	
255	11,029	49,059	63,	50,816	
256	11,034	49,057	63,	50,815	
257	11,039	49,054	63,	50,814	
258	11,044	49,052	63,	50,813	
259	11,049	49,05	63,	50,812	
260	11,054	49,048	63,	50,811	
261	11,059	49,045	63,	50,81	
262	11,064	49,043	63,	50,81	
263	11,069	49,041	63,	50,809	
264	11,074	49,039	63,	50,808	
265	11,079	49,037	63,	50,807	
266	11,084	49,034	63,	50,806	
267	11,089	49,032	63,	50,805	
268	11,094	49,03	63,	50,805	
269	11,099	49,028	63,	50,804	
270	11,104	49,026	63,	50,803	
271	11,109	49,024	63,	50,802	
272	11,114	49,022	63,	50,801	
273	11,119	49,02	63,	50,801	
274	11,124	49,018	63,	50,8	
275	11,129	49,016	63,	50,799	
276	11,134	49,014	63,	50,798	
277	11,139	49,012	63,	50,797	
278	11,144	49,01	63,	50,797	
279	11,149	49,008	63,	50,796	
280	11,154	49,006	63,	50,795	
281	11,159	49,004	63,	50,794	
282	11,164	49,002	63,	50,794	
283	11,169	49,	63,	50,793	
284	11,174	48,998	63,	50,792	
285	11,179	48,996	63,	50,791	
286	11,184	48,994	63,	50,791	
287	11,189	48,992	63,	50,79	
288	11,194	48,99	63,	50,789	
289	11,199	48,988	63,	50,788	
290	11,204	48,987	63,	50,788	
291	11,209	48,985	63,	50,787	
292	11,214	48,983	63,	50,786	
293	11,219	48,981	63,	50,786	
294	11,224	48,979	63,	50,785	
295	11,229	48,978	63,	50,784	
296	11,234	48,976	63,	50,784	
297	11,239	48,974	63,	50,783	
298	11,244	48,972	63,	50,782	
299	11,249	48,97	63,	50,782	
300	11,254	48,969	63,	50,781	
301	11,259	48,967	63,	50,78	
302	11,264	48,965	63,	50,78	
303	11,269	48,964	63,	50,779	
304	11,274	48,962	63,	50,778	
305	11,279	48,96	63,	50,778	
306	11,284	48,959	63,	50,777	
307	11,289	48,957	63,	50,776	
308	11,294	48,955	63,	50,776	
309	11,299	48,954	63,	50,775	
310	11,304	48,952	63,	50,775	
311	11,309	48,95	63,	50,774	
312	11,314	48,949	63,	50,773	
313	11,319	48,947	63,	50,773	
314	11,324	48,946	63,	50,772	
315	11,329	48,944	63,	50,772	
316	11,334	48,943	63,	50,771	
317	11,339	48,941	63,	50,77	
318	11,344	48,939	63,	50,77	
319	11,349	48,938	63,	50,769	
320	11,354	48,936	63,	50,769	
321	11,359	48,935	63,	50,768	
322	11,364	48,933	63,	50,767	
323	11,369	48,932	63,	50,767	
324	11,374	48,93	63,	50,766	
325	11,379	48,929	63,	50,766	
326	11,384	48,927	63,	50,765	
327	11,389	48,926	63,	50,765	
328	11,394	48,925	63,	50,764	
329	11,399	48,923	63,	50,764	
330	11,404	48,922	63,	50,763	
331	11,409	48,92	63,	50,763	
332	11,414	48,919	63,	50,762	
333	11,419	48,917	63,	50,761	
334	11,424	48,916	63,	50,761	
335	11,429	48,915	63,	50,76	
336	11,434	48,913	63,	50,76	
337	11,439	48,912	63,	50,759	
338	11,444	48,911	63,	50,759	
339	11,449	48,909	63,	50,758	
340	11,454	48,908	63,	50,758	
341	11,459	48,907	63,	50,757	
342	11,464	48,905	63,	50,757	
343	11,469	48,904	63,	50,756	
344	11,474	48,903	63,	50,756	
345	11,479	48,901	63,	50,755	
346	11,484	48,9	63,	50,755	
347	11,489	48,899	63,	50,754	
348	11,494	48,898	63,	50,754	
349	11,499	48,896	63,	50,753	
350	11,504	48,895	63,	50,753	
351	11,509	48,894	63,	50,753	
352	11,514	48,893	63,	50,752	
353	11,519	48,891	63,	50,752	
354	11,524	48,89	63,	50,751	
355	11,529	48,889	63,	50,751	
356	11,534	48,888	63,	50,75	
357	11,539	48,887	63,	50,75	
358	11,544	48,885	63,	50,749	
359	11,549	48,884	63,	50,749	
360	11,554	48,883	63,	50,749	
361	11,559	48,882	63,	50,748	
362	11,564	48,881	63,	50,748	
363	11,569	48,879	63,	50,747	
364	11,574	48,878	63,	50,747	
365	11,579	48,877	63,	50,746	
366	11,584	48,876	63,	50,746	
367	11,589	48,875	63,	50,746	
368	11,594	48,874	63,	50,745	
369	11,599	48,873	63,	50,745	
370	11,604	48,872	63,	50,744	
371	11,609	48,871	63,	50,744	
372	11,614	48,869	63,	50,743	
373	11,619	48,868	63,	50,743	
374	11,624	48,867	63,	50,743	
375	11,629	48,866	63,	50,742	
376	11,634	48,865	63,	50,742	
377	11,639	48,864	63,	50,742	
378	11,644	48,863	63,	50,741	
379	11,649	48,862	63,	50,741	
380	11,654	48,861	63,	50,74	
381	11,659	48,86	63,	50,74	
382	11,664	48,859	63,	50,74	
383	11,669	48,858	63,	50,739	
384	11,674	48,857	63,	50,739	
385	11,679	48,856	63,	50,738	
386	11,684	48,855	63,	50,738	
387	11,689	48,854	63,	50,738	
388	11,694	48,853	63,	50,737	
389	11,699	48,852	63,	50,737	
390	11,704	48,851	63,	50,737	
391	11,709	48,85	63,	50,736	
392	11,714	48,849	63,	50,736	
393	11,719	48,848	63,	50,736	
394	11,724	48,847	63,	50,735	
395	11,729	48,846	63,	50,735	
396	11,734	48,845	63,	50,735	
397	11,739	48,845	63,	50,734	
398	11,744	48,844	63,	50,734	
399	11,749	48,843	63,	50,734	
400	11,754	48,842	63,	50,733	
401	11,759	48,841	63,	50,733	
402	11,764	48,84	63,	50,733	
403	11,769	48,839	63,	50,732	
404	11,774	48,838	63,	50,732	
405	11,779	48,837	63,	50,732	
406	11,784	48,836	63,	50,731	
407	11,789	48,836	63,	50,731	
408	11,794	48,835	63,	50,731	
409	11,799	48,834	63,	50,73	
410	11,804	48,833	63,	50,73	
411	11,809	48,832	63,	50,73	
412	11,814	48,831	63,	50,729	
413	11,819	48,831	63,	50,729	
414	11,824	48,83	63,	50,729	
415	11,829	48,829	63,	50,729	
416	11,834	48,828	63,	50,728	
417	11,839	48,827	63,	50,728	
418	11,844	48,826	63,	50,728	
419	11,849	48,826	63,	50,727	
420	11,854	48,825	63,	50,727	
421	11,859	48,824	63,	50,727	
422	11,864	48,823	63,	50,726	
423	11,869	48,823	63,	50,726	
424	11,874	48,822	63,	50,726	
425	11,879	48,821	63,	50,726	
426	11,884	48,82	63,	50,725	
427	11,889	48,819	63,	50,725	
428	11,894	48,819	63,	50,725	
429	11,899	48,818	63,	50,725	
430	11,904	48,817	63,	50,724	
431	11,909	48,816	63,	50,724	
432	11,914	48,816	63,	50,724	
433	11,919	49,038	63,	51,271	
434	11,924	49,106	67,852	51,76	
435	11,929	49,127	72,922	52,205	
436	11,934	49,161	76,863	52,617	
437	11,939	49,214	80,178	53,001	
438	11,944	49,286	83,111	53,364	
439	11,949	49,378	85,788	53,708	
440	11,954	49,437	88,278	54,037	
441	11,959	49,483	90,621	54,351	
442	11,964	49,538	92,844	54,655	
443	11,969	49,603	94,964	54,947	
444	11,974	49,677	96,996	55,23	
445	11,979	49,733	98,949	55,505	
446	11,984	49,744	100,83	55,772	
447	11,989	49,756	102,65	56,033	
448	11,994	49,77	104,42	56,286	
449	11,999	49,786	106,13	56,534	
450	12,002	49,796	107,14	56,681	
451	12,002	49,797	210,	72,692	
452	12,002	49,797	210,	72,702	
453	12,002	49,797	210,	72,711	
454	12,002	49,798	210,	72,719	
455	12,002	49,798	210,	72,726	
456	12,003	49,799	210,	72,732	
457	12,003	49,799	210,	72,736	
458	12,003	49,785	210,	72,739	
459	12,003	49,76	210,	72,741	
460	12,003	49,737	210,	72,741	
461	12,053	47,179	204,04	71,841	
462	12,103	48,128	196,8	71,166	
463	12,153	49,945	189,16	70,527	
464	12,203	49,96	181,61	69,884	
465	12,253	49,962	174,39	69,234	
466	12,303	49,965	167,6	68,579	
467	12,353	49,965	161,29	67,925	
468	12,403	49,965	155,44	67,274	
469	12,453	49,965	150,03	66,633	
470	12,503	49,964	145,02	66,004	
471	12,553	49,964	140,39	65,389	
472	12,603	49,963	136,09	64,79	
473	12,653	49,962	132,1	64,21	
474	12,703	49,962	128,39	63,647	
475	12,753	49,961	124,93	63,103	
476	12,803	49,96	121,69	62,579	
477	12,853	49,96	118,65	62,073	
478	12,903	49,959	115,78	61,586	
479	12,953	49,958	113,07	61,118	
480	13,003	49,958	110,5	60,668	
481	13,053	49,957	108,07	60,236	
482	13,103	49,957	105,75	59,821	
483	13,153	49,957	103,55	59,422	
484	13,203	49,956	101,46	59,04	
485	13,253	49,956	99,453	58,674	
486	13,303	49,955	97,54	58,322	
487	13,353	49,955	95,71	57,985	
488	13,403	49,955	93,959	57,662	
489	13,453	49,955	92,282	57,352	
490	13,503	49,954	90,675	57,055	
491	13,553	49,954	89,134	56,77	
492	13,603	49,954	87,655	56,497	
493	13,653	49,954	86,254	56,236	
