	Time [s]	T_couche_0,3mm_milieu_couche1 [°C]	
1	1,e-004	210,	
2	2,e-004	210,	
3	5,e-004	210,	
4	1,e-003	210,	
5	5,1e-002	208,46	
6	0,101	206,4	
7	0,251	199,65	
8	0,551	187,	
9	0,851	175,39	
10	1,151	164,74	
11	1,451	154,98	
12	1,751	146,03	
13	2,051	137,83	
14	2,351	130,31	
15	2,651	123,42	
16	2,951	117,1	
17	3,251	111,31	
18	3,551	106,	
19	3,851	101,13	
20	4,151	96,671	
21	4,451	92,581	
22	4,751	88,832	
23	5,051	85,396	
24	5,351	82,246	
25	5,651	79,358	
26	5,826	77,759	
27	6,001	76,24	
28	6,0011	76,343	
29	6,0012	76,446	
30	6,0013	76,549	
31	6,0014	76,652	
32	6,0015	76,755	
33	6,0016	76,857	
34	6,0017	76,959	
35	6,0018	77,062	
36	6,0019	77,164	
37	6,002	77,265	
38	6,003	78,262	
39	6,004	79,239	
40	6,005	80,196	
41	6,006	81,134	
42	6,007	82,054	
43	6,008	82,955	
44	6,009	83,838	
45	6,01	84,704	
46	6,011	85,553	
47	6,012	86,385	
48	6,013	87,201	
49	6,014	88,001	
50	6,015	88,786	
51	6,016	89,555	
52	6,017	90,31	
53	6,018	91,05	
54	6,019	91,777	
55	6,02	92,489	
56	6,021	93,188	
57	6,022	93,875	
58	6,023	94,549	
59	6,024	95,212	
60	6,025	95,862	
61	6,026	96,5	
62	6,027	97,127	
63	6,028	97,743	
64	6,029	98,347	
65	6,03	98,941	
66	6,031	99,524	
67	6,032	100,1	
68	6,033	100,66	
69	6,034	101,21	
70	6,035	101,76	
71	6,036	102,29	
72	6,037	102,82	
73	6,038	103,33	
74	6,039	103,84	
75	6,04	104,34	
76	6,041	104,83	
77	6,042	105,31	
78	6,043	105,78	
79	6,044	106,25	
80	6,045	106,71	
81	6,046	107,16	
82	6,047	107,6	
83	6,048	108,04	
84	6,049	108,47	
85	6,05	108,89	
86	6,051	109,31	
87	6,052	109,72	
88	6,053	110,12	
89	6,054	110,52	
90	6,055	110,91	
91	6,056	111,29	
92	6,057	111,67	
93	6,058	112,04	
94	6,059	112,41	
95	6,06	112,77	
96	6,061	113,13	
97	6,062	113,48	
98	6,063	113,83	
99	6,064	114,17	
100	6,065	114,5	
101	6,066	114,83	
102	6,067	115,16	
103	6,068	115,48	
104	6,069	115,8	
105	6,07	116,11	
106	6,071	116,42	
107	6,072	116,72	
108	6,073	117,02	
109	6,074	117,32	
110	6,075	117,61	
111	6,076	117,89	
112	6,077	118,18	
113	6,078	118,46	
114	6,079	118,73	
115	6,08	119,	
116	6,081	119,27	
117	6,082	119,54	
118	6,083	119,8	
119	6,084	120,05	
120	6,085	120,31	
121	6,086	120,56	
122	6,087	120,81	
123	6,088	121,05	
124	6,089	121,29	
125	6,09	121,53	
126	6,091	121,77	
127	6,092	122,	
128	6,093	122,23	
129	6,094	122,45	
130	6,095	122,68	
131	6,096	122,9	
132	6,097	123,12	
133	6,098	123,33	
134	6,099	123,54	
135	6,1	123,75	
136	6,15	130,56	
137	6,2	135,06	
138	6,25	138,06	
139	6,3	140,03	
140	6,35	141,26	
141	6,4	142,16	
142	6,45	143,03	
143	6,5	143,58	
144	6,55	143,84	
145	6,6	143,88	
146	6,65	143,73	
147	6,7	143,44	
148	6,75	143,03	
149	6,8	142,53	
150	6,85	141,96	
151	6,9	141,33	
152	6,95	140,66	
153	7,	139,95	
154	7,05	139,21	
155	7,1	138,46	
156	7,15	137,69	
157	7,2	136,9	
158	7,25	136,11	
159	7,3	135,32	
160	7,35	134,52	
161	7,4	133,72	
162	7,45	132,92	
163	7,5	132,12	
164	7,55	131,32	
165	7,6	130,53	
166	7,65	129,74	
167	7,7	128,95	
168	7,75	128,17	
169	7,8	127,4	
170	7,85	126,62	
171	7,9	125,86	
172	7,95	125,09	
173	8,	124,34	
174	8,05	123,59	
175	8,1	122,84	
176	8,15	122,1	
177	8,2	121,37	
178	8,25	120,64	
179	8,3	119,91	
180	8,35	119,2	
181	8,4	118,5	
182	8,45	117,8	
183	8,5	117,11	
184	8,55	116,42	
185	8,6	115,74	
186	8,65	115,06	
187	8,7	114,39	
188	8,75	113,73	
189	8,8	113,07	
190	8,85	112,42	
191	8,9	111,77	
192	8,95	111,13	
193	9,	110,49	
194	9,05	109,86	
195	9,1	109,24	
196	9,15	108,62	
197	9,2	108,	
198	9,25	107,39	
199	9,3	106,79	
200	9,35	106,19	
201	9,4	105,59	
202	9,45	105,	
203	9,5	104,42	
204	9,55	103,84	
205	9,6	103,27	
206	9,65	102,71	
207	9,7	102,15	
208	9,75	101,6	
209	9,8	101,05	
210	9,85	100,51	
211	9,9	99,971	
212	9,95	99,438	
213	10,	98,91	
214	10,05	98,386	
215	10,1	97,867	
216	10,15	97,353	
217	10,2	96,843	
218	10,25	96,338	
219	10,3	95,837	
220	10,35	95,341	
221	10,4	94,849	
222	10,45	94,362	
223	10,5	93,879	
224	10,55	93,4	
225	10,6	92,926	
226	10,65	92,457	
227	10,7	91,991	
228	10,75	91,53	
229	10,8	91,073	
230	10,85	90,62	
231	10,9	90,171	
232	10,95	89,727	
233	11,	89,286	
234	11,001	89,277	
235	11,002	89,269	
236	11,003	89,26	
237	11,005	89,242	
238	11,009	89,207	
239	11,014	89,163	
240	11,019	89,119	
241	11,024	89,075	
242	11,029	89,031	
243	11,034	88,988	
244	11,039	88,944	
245	11,044	88,9	
246	11,049	88,857	
247	11,054	88,813	
248	11,059	88,769	
249	11,064	88,726	
250	11,069	88,682	
251	11,074	88,639	
252	11,079	88,596	
253	11,084	88,552	
254	11,089	88,509	
255	11,094	88,466	
256	11,099	88,423	
257	11,104	88,38	
258	11,109	88,337	
259	11,114	88,294	
260	11,119	88,251	
261	11,124	88,209	
262	11,129	88,166	
263	11,134	88,123	
264	11,139	88,081	
265	11,144	88,038	
266	11,149	87,995	
267	11,154	87,953	
268	11,159	87,91	
269	11,164	87,868	
270	11,169	87,826	
271	11,174	87,783	
272	11,179	87,741	
273	11,184	87,699	
274	11,189	87,656	
275	11,194	87,614	
276	11,199	87,572	
277	11,204	87,53	
278	11,209	87,488	
279	11,214	87,446	
280	11,219	87,404	
281	11,224	87,362	
282	11,229	87,32	
283	11,234	87,278	
284	11,239	87,236	
285	11,244	87,194	
286	11,249	87,153	
287	11,254	87,111	
288	11,259	87,069	
289	11,264	87,028	
290	11,269	86,986	
291	11,274	86,944	
292	11,279	86,903	
293	11,284	86,861	
294	11,289	86,82	
295	11,294	86,778	
296	11,299	86,737	
297	11,304	86,696	
298	11,309	86,654	
299	11,314	86,613	
300	11,319	86,572	
301	11,324	86,531	
302	11,329	86,49	
303	11,334	86,448	
304	11,339	86,407	
305	11,344	86,366	
306	11,349	86,325	
307	11,354	86,284	
