	Time [s]	T_couche2supp [°C]	
1	1,e-004	63,003	
2	2,e-004	63,003	
3	5,e-004	63,003	
4	1,e-003	63,003	
5	5,1e-002	63,003	
6	0,101	63,003	
7	0,251	63,002	
8	0,551	63,002	
9	0,851	63,002	
10	1,151	63,002	
11	1,451	63,002	
12	1,751	63,002	
13	2,051	63,002	
14	2,351	63,001	
15	2,651	63,001	
16	2,951	63,001	
17	3,251	63,001	
18	3,551	63,001	
19	3,851	63,001	
20	4,151	63,001	
21	4,451	63,001	
22	4,751	63,001	
23	5,051	63,001	
24	5,351	63,001	
25	5,651	63,001	
26	5,826	63,001	
27	6,001	63,001	
28	6,0011	210,	
29	6,0012	210,	
30	6,0013	210,	
31	6,0014	210,	
32	6,0015	210,	
33	6,0016	210,	
34	6,0017	210,	
35	6,0018	210,	
36	6,0019	210,	
37	6,002	210,	
38	6,003	209,98	
39	6,004	209,97	
40	6,005	209,95	
41	6,006	209,93	
42	6,007	209,92	
43	6,008	209,9	
44	6,009	209,88	
45	6,01	209,87	
46	6,011	209,85	
47	6,012	209,83	
48	6,013	209,81	
49	6,014	209,8	
50	6,015	209,78	
51	6,016	209,76	
52	6,017	209,74	
53	6,018	209,72	
54	6,019	209,7	
55	6,02	209,68	
56	6,021	209,66	
57	6,022	209,63	
58	6,023	209,61	
59	6,024	209,59	
60	6,025	209,57	
61	6,026	209,54	
62	6,027	209,52	
63	6,028	209,5	
64	6,029	209,47	
65	6,03	209,45	
66	6,031	209,42	
67	6,032	209,39	
68	6,033	209,36	
69	6,034	209,33	
70	6,035	209,3	
71	6,036	209,26	
72	6,037	209,23	
73	6,038	209,19	
74	6,039	209,16	
75	6,04	209,12	
76	6,041	209,08	
77	6,042	209,03	
78	6,043	208,99	
79	6,044	208,94	
80	6,045	208,9	
81	6,046	208,85	
82	6,047	208,8	
83	6,048	208,75	
84	6,049	208,69	
85	6,05	208,64	
86	6,051	208,58	
87	6,052	208,52	
88	6,053	208,46	
89	6,054	208,4	
90	6,055	208,33	
91	6,056	208,27	
92	6,057	208,2	
93	6,058	208,13	
94	6,059	208,06	
95	6,06	207,99	
96	6,061	207,92	
97	6,062	207,84	
98	6,063	207,76	
99	6,064	207,68	
100	6,065	207,6	
101	6,066	207,52	
102	6,067	207,44	
103	6,068	207,35	
104	6,069	207,26	
105	6,07	207,18	
106	6,071	207,09	
107	6,072	206,99	
108	6,073	206,9	
109	6,074	206,81	
110	6,075	206,71	
111	6,076	206,61	
112	6,077	206,51	
113	6,078	206,42	
114	6,079	206,32	
115	6,08	206,22	
116	6,081	206,12	
117	6,082	206,02	
118	6,083	205,92	
119	6,084	205,82	
120	6,085	205,72	
121	6,086	205,61	
122	6,087	205,51	
123	6,088	205,4	
124	6,089	205,3	
125	6,09	205,19	
126	6,091	205,08	
127	6,092	204,97	
128	6,093	204,86	
129	6,094	204,74	
130	6,095	204,63	
131	6,096	204,52	
132	6,097	204,4	
133	6,098	204,28	
134	6,099	204,17	
135	6,1	204,05	
136	6,15	197,45	
137	6,2	190,96	
138	6,25	184,98	
139	6,3	179,65	
140	6,35	174,97	
141	6,4	170,9	
142	6,45	167,37	
143	6,5	164,32	
144	6,55	161,76	
145	6,6	159,49	
146	6,65	157,48	
147	6,7	155,67	
148	6,75	154,04	
149	6,8	152,55	
150	6,85	151,17	
151	6,9	149,87	
152	6,95	148,65	
153	7,	147,49	
154	7,05	146,37	
155	7,1	145,3	
156	7,15	144,26	
157	7,2	143,25	
158	7,25	142,27	
159	7,3	141,3	
160	7,35	140,36	
161	7,4	139,43	
162	7,45	138,52	
163	7,5	137,61	
164	7,55	136,73	
165	7,6	135,85	
