	Time [s]	Minimum [°C]	Maximum [°C]	Average [°C]	
1	1,e-004	20,839	210,	152,2	
2	2,e-004	20,839	210,	152,2	
3	5,e-004	20,839	210,	152,18	
4	1,e-003	20,839	210,	152,16	
5	5,1e-002	20,839	208,73	150,22	
6	0,101	20,839	207,12	148,48	
7	0,251	20,839	200,98	143,77	
8	0,551	20,839	188,48	135,4	
9	0,851	20,839	176,78	127,84	
10	1,151	20,839	166,01	120,99	
11	1,451	20,839	156,13	114,76	
12	1,751	20,839	147,07	109,1	
13	2,051	20,839	138,77	103,94	
14	2,351	20,839	131,16	99,244	
15	2,651	20,839	124,18	94,966	
16	2,951	20,839	117,79	91,069	
17	3,251	20,839	111,92	87,517	
18	3,551	20,839	106,55	84,279	
19	3,851	20,839	101,62	81,327	
20	4,151	20,839	97,107	78,636	
21	4,451	20,839	92,967	76,182	
22	4,751	20,839	89,173	73,944	
23	5,051	20,839	85,694	71,902	
24	5,351	20,839	82,506	70,04	
25	5,651	20,839	79,583	68,341	
26	5,826	20,839	77,964	67,403	
27	6,001	20,839	76,426	66,514	
28	6,0011	63,001	210,	156,81	
29	6,0012	63,001	210,	156,83	
30	6,0013	63,001	210,	156,85	
31	6,0014	63,001	210,	156,87	
32	6,0015	63,001	210,	156,88	
33	6,0016	63,001	210,	156,9	
34	6,0017	63,001	210,	156,92	
35	6,0018	63,001	210,	156,94	
36	6,0019	63,001	210,	156,95	
37	6,002	63,001	210,	156,97	
38	6,003	63,001	210,	156,98	
39	6,004	63,001	210,01	156,98	
40	6,005	63,001	210,02	156,98	
41	6,006	63,001	210,03	156,99	
42	6,007	63,001	210,04	156,99	
43	6,008	63,001	210,06	157,	
44	6,009	63,001	210,07	157,	
45	6,01	63,001	210,08	157,	
46	6,011	63,001	210,09	157,01	
47	6,012	63,001	210,09	157,01	
48	6,013	63,001	210,1	157,02	
49	6,014	63,001	210,1	157,02	
50	6,015	63,001	210,1	157,02	
51	6,016	63,001	210,1	157,02	
52	6,017	63,001	210,09	157,03	
53	6,018	63,001	210,08	157,03	
54	6,019	63,001	210,07	157,03	
55	6,02	63,001	210,05	157,03	
56	6,021	63,001	210,03	157,04	
57	6,022	63,001	210,01	157,04	
58	6,023	63,001	209,99	157,04	
59	6,024	63,001	209,96	157,04	
60	6,025	63,001	209,92	157,04	
61	6,026	63,001	209,89	157,04	
62	6,027	63,001	209,84	157,04	
63	6,028	63,001	209,8	157,04	
64	6,029	63,001	209,75	157,04	
