	Time [s]	T_couche_0,3mm_milieu_couche1 [°C]	
1	1,e-004	210,	
2	2,e-004	210,	
3	3,1517e-004	210,	
4	5,088e-004	210,	
5	8,3755e-004	210,	
6	1,e-003	210,	
7	5,1e-002	205,77	
8	6,7667e-002	203,79	
9	7,8094e-002	202,32	
10	8,8522e-002	200,62	
11	9,9255e-002	198,63	
12	0,13146	191,42	
13	0,17264	181,49	
14	0,22629	169,01	
15	0,30531	153,39	
16	0,4012	138,78	
17	0,51339	126,57	
18	0,65984	116,38	
19	0,87794	108,3	
20	1,1779	103,33	
21	1,4779	101,12	
22	1,7779	100,15	
23	2,0779	99,714	
24	2,3779	99,523	
25	2,6779	99,465	
26	2,9779	99,45	
27	3,2779	99,444	
28	3,5779	99,441	
29	3,8779	99,44	
30	4,1779	99,44	
31	4,4779	99,44	
32	4,7779	99,44	
33	5,0779	99,439	
34	5,3779	99,439	
35	5,6779	99,439	
36	5,8395	99,439	
37	6,001	99,439	
38	6,0011	99,526	
39	6,0012	99,613	
40	6,0015	99,871	
41	6,002	100,3	
42	6,003	101,13	
43	6,004	101,95	
44	6,007	104,26	
45	6,012	107,74	
46	6,017	110,89	
47	6,022	113,74	
48	6,027	116,31	
49	6,032	118,63	
50	6,037	120,71	
51	6,042	122,59	
52	6,047	124,28	
53	6,052	125,8	
54	6,057	127,16	
55	6,062	128,37	
56	6,067	129,46	
57	6,072	130,43	
58	6,077	131,29	
59	6,082	132,05	
60	6,087	132,73	
61	6,092	133,32	
62	6,097	133,84	
63	6,1	134,12	
64	6,15	135,4	
65	6,2	134,95	
66	6,3481	130,51	
67	6,5273	125,08	
68	6,7468	119,55	
69	7,0256	114,23	
70	7,3256	110,02	
71	7,6256	106,92	
72	7,9256	104,64	
73	8,2256	102,95	
74	8,5256	101,72	
75	8,8256	100,8	
76	9,1256	100,13	
77	9,4256	99,638	
78	9,7256	99,275	
79	10,026	99,008	
80	10,326	98,83	
81	10,626	98,703	
82	10,813	98,638	
83	11,	98,586	
84	11,001	98,586	
85	11,002	98,586	
86	11,005	98,585	
87	11,01	98,584	
88	11,015	98,582	
89	11,02	98,581	
90	11,025	98,58	
91	11,03	98,578	
92	11,035	98,577	
93	11,04	98,576	
94	11,045	98,574	
95	11,05	98,573	
96	11,055	98,572	
97	11,06	98,57	
98	11,065	98,569	
99	11,07	98,568	
100	11,075	98,567	
101	11,08	98,565	
102	11,085	98,564	
103	11,09	98,563	
104	11,095	98,562	
105	11,1	98,56	
106	11,105	98,559	
107	11,11	98,558	
108	11,115	98,557	
109	11,12	98,555	
110	11,125	98,554	
111	11,13	98,553	
112	11,135	98,552	
113	11,14	98,551	
114	11,145	98,55	
115	11,15	98,548	
116	11,155	98,547	
117	11,16	98,546	
118	11,165	98,545	
119	11,17	98,544	
120	11,175	98,543	
121	11,18	98,542	
122	11,185	98,541	
123	11,19	98,539	
124	11,195	98,538	
125	11,2	98,537	
126	11,205	98,536	
127	11,21	98,535	
128	11,215	98,534	
129	11,22	98,533	
130	11,225	98,532	
131	11,23	98,531	
132	11,235	98,53	
133	11,24	98,529	
134	11,245	98,528	
135	11,25	98,527	
136	11,255	98,526	
137	11,26	98,525	
138	11,265	98,524	
139	11,27	98,523	
140	11,275	98,522	
141	11,28	98,521	
142	11,285	98,52	
143	11,29	98,519	
144	11,295	98,518	
145	11,3	98,517	
146	11,305	98,516	
147	11,31	98,515	
148	11,315	98,514	
149	11,32	98,513	
150	11,325	98,512	
151	11,33	98,511	
152	11,335	98,51	
153	11,34	98,51	
154	11,345	98,509	
155	11,35	98,508	
156	11,355	98,507	
157	11,36	98,506	
158	11,365	98,505	
159	11,37	98,504	
160	11,375	98,503	
161	11,38	98,502	
162	11,385	98,502	
163	11,39	98,501	
164	11,395	98,5	
165	11,4	98,499	
166	11,405	98,498	
167	11,41	98,497	
168	11,415	98,497	
169	11,42	98,496	
170	11,425	98,495	
171	11,43	98,494	
172	11,435	98,493	
173	11,44	98,492	
174	11,445	98,492	
175	11,45	98,491	
176	11,455	98,49	
177	11,46	98,489	
178	11,465	98,488	
179	11,47	98,488	
180	11,475	98,487	
181	11,48	98,486	
182	11,485	98,485	
183	11,49	98,485	
184	11,495	98,484	
185	11,5	98,483	
186	11,505	98,482	
187	11,51	98,482	
188	11,515	98,481	
189	11,52	98,48	
190	11,525	98,479	
191	11,53	98,479	
192	11,535	98,478	
193	11,54	98,477	
194	11,545	98,477	
195	11,55	98,476	
196	11,555	98,475	
197	11,56	98,475	
198	11,565	98,474	
199	11,57	98,473	
200	11,575	98,472	
201	11,58	98,472	
202	11,585	98,471	
203	11,59	98,47	
204	11,595	98,47	
205	11,6	98,469	
206	11,605	98,468	
207	11,61	98,468	
208	11,615	98,467	
209	11,62	98,467	
210	11,625	98,466	
211	11,63	98,465	
212	11,635	98,465	
213	11,64	98,464	
214	11,645	98,463	
215	11,65	98,463	
216	11,655	98,462	
217	11,66	98,462	
218	11,665	98,461	
219	11,67	98,46	
220	11,675	98,46	
221	11,68	98,459	
222	11,685	98,459	
223	11,69	98,458	
224	11,695	98,457	
225	11,7	98,457	
226	11,705	98,456	
227	11,71	98,456	
228	11,715	98,455	
229	11,72	98,454	
230	11,725	98,454	
231	11,73	98,453	
232	11,735	98,453	
233	11,74	98,452	
234	11,745	98,452	
235	11,75	98,451	
236	11,755	98,451	
237	11,76	98,45	
238	11,765	98,449	
239	11,77	98,449	
240	11,775	98,448	
241	11,78	98,448	
242	11,785	98,447	
243	11,79	98,447	
244	11,795	98,446	
245	11,8	98,446	
246	11,805	98,445	
247	11,81	98,445	
248	11,815	98,444	
249	11,82	98,444	
250	11,825	98,443	
251	11,83	98,443	
252	11,835	98,442	
253	11,84	98,442	
254	11,845	98,441	
255	11,85	98,441	
256	11,855	98,44	
257	11,86	98,44	
258	11,865	98,439	
259	11,87	98,439	
260	11,875	98,438	
261	11,88	98,438	
262	11,885	98,438	
263	11,89	98,437	
264	11,895	98,437	
265	11,9	98,436	
266	11,905	98,436	
267	11,91	98,435	
268	11,915	98,435	
269	11,92	98,434	
270	11,925	98,434	
271	11,93	98,433	
272	11,935	98,433	
273	11,94	98,433	
274	11,945	98,432	
275	11,95	98,432	
276	11,955	98,431	
277	11,96	98,431	
278	11,965	98,449	
279	11,97	98,48	
280	11,975	98,516	
281	11,98	98,559	
282	11,985	98,61	
283	11,99	98,667	
284	11,995	98,732	
285	12,	98,805	
286	12,002	98,835	
287	12,002	98,837	
288	12,002	98,838	
289	12,002	98,843	
290	12,003	98,85	
291	12,053	99,923	
292	12,07	100,57	
293	12,086	101,32	
294	12,136	103,8	
295	12,221	107,3	
296	12,36	110,6	
297	12,553	112,17	
298	12,806	111,89	
299	13,106	110,49	
300	13,406	108,86	
301	13,706	107,28	
