	Time [s]	Minimum [°C]	Maximum [°C]	Average [°C]	
1	1,e-004	4,1857	210,04	149,6	
2	2,e-004	4,1859	210,	149,48	
3	3,1517e-004	4,1862	210,	149,36	
4	5,088e-004	4,1866	210,	149,18	
5	8,3755e-004	4,1874	210,	148,94	
6	1,e-003	4,1878	210,	148,83	
7	5,1e-002	4,4951	207,54	136,69	
8	6,7667e-002	4,6286	206,49	133,1	
9	7,8094e-002	4,7265	205,72	130,95	
10	8,8522e-002	4,8402	204,82	128,87	
11	9,9255e-002	4,9751	203,74	126,8	
12	0,13146	5,5268	199,19	121,2	
13	0,17264	6,3981	191,77	114,9	
14	0,22629	7,6494	180,87	107,99	
15	0,30531	9,422	165,11	100,12	
16	0,4012	11,237	148,77	93,172	
17	0,51339	12,85	134,12	87,587	
18	0,65984	14,255	121,29	83,061	
19	0,87794	15,401	110,76	79,561	
20	1,1779	16,117	104,16	77,456	
21	1,4779	16,438	101,2	76,538	
22	1,7779	16,58	100,15	76,139	
23	2,0779	16,643	100,	75,965	
24	2,3779	16,671	100,	75,89	
25	2,6779	16,683	100,	75,857	
26	2,9779	16,688	100,	75,843	
27	3,2779	16,691	100,	75,837	
28	3,5779	16,692	100,	75,834	
29	3,8779	16,692	100,	75,833	
30	4,1779	16,692	100,	75,832	
31	4,4779	16,692	100,	75,832	
32	4,7779	16,692	100,	75,832	
33	5,0779	16,692	100,	75,832	
34	5,3779	16,692	100,	75,832	
35	5,6779	16,692	100,	75,832	
36	5,8395	16,692	100,	75,832	
37	6,001	16,692	100,	75,832	
38	6,0011	98,346	210,	172,78	
39	6,0012	98,433	210,	172,79	
40	6,0015	98,694	210,	172,84	
41	6,002	99,124	210,	172,91	
42	6,003	99,919	210,	172,92	
43	6,004	99,923	210,01	172,93	
44	6,007	99,942	210,03	172,95	
45	6,012	99,983	210,05	172,93	
46	6,017	100,	210,	172,87	
47	6,022	100,	209,93	172,77	
48	6,027	100,	209,89	172,64	
49	6,032	100,	209,82	172,48	
50	6,037	100,	209,71	172,29	
51	6,042	100,	209,57	172,08	
52	6,047	100,	209,39	171,84	
53	6,052	100,	209,18	171,59	
54	6,057	100,	208,93	171,32	
55	6,062	100,	208,65	171,03	
56	6,067	100,	208,33	170,73	
57	6,072	100,	207,98	170,41	
58	6,077	100,	207,6	170,09	
59	6,082	100,	207,2	169,75	
60	6,087	100,	206,77	169,4	
61	6,092	100,	206,31	169,05	
62	6,097	100,	205,84	168,69	
63	6,1	100,	205,55	168,47	
64	6,15	100,	200,18	164,64	
65	6,2	100,	194,95	160,85	
66	6,3481	100,	180,4	151,05	
67	6,5273	100,	165,42	141,29	
68	6,7468	100,	150,78	131,88	
69	7,0256	100,	136,92	122,98	
70	7,3256	100,	125,98	115,99	
71	7,6256	100,	117,94	110,89	
72	7,9256	100,	112,03	107,16	
73	8,2256	100,	107,69	104,43	
74	8,5256	99,573	104,5	102,44	
75	8,8256	98,077	102,16	100,98	
76	9,1256	96,67	100,51	99,917	
77	9,4256	95,653	100,	99,139	
78	9,7256	94,918	100,	98,571	
79	10,026	94,386	100,	98,156	
80	10,326	93,997	100,	97,852	
81	10,626	93,705	100,	97,63	
82	10,813	93,558	100,	97,518	
83	11,	93,434	100,	97,426	
84	11,001	93,433	100,	97,426	
85	11,002	93,432	100,	97,425	
86	11,005	93,43	100,	97,424	
87	11,01	93,427	100,	97,422	
88	11,015	93,423	100,	97,419	
89	11,02	93,42	100,	97,417	
90	11,025	93,417	100,	97,414	
91	11,03	93,413	100,	97,412	
92	11,035	93,41	100,	97,41	
93	11,04	93,407	100,	97,407	
94	11,045	93,404	100,	97,405	
95	11,05	93,401	100,	97,403	
96	11,055	93,397	100,	97,401	
97	11,06	93,394	100,	97,398	
98	11,065	93,391	100,	97,396	
99	11,07	93,388	100,	97,394	
100	11,075	93,385	100,	97,392	
101	11,08	93,382	100,	97,389	
102	11,085	93,379	100,	97,387	
103	11,09	93,376	100,	97,385	
104	11,095	93,373	100,	97,383	
105	11,1	93,37	100,	97,381	
106	11,105	93,367	100,	97,378	
107	11,11	93,364	100,	97,376	
108	11,115	93,361	100,	97,374	
109	11,12	93,358	100,	97,372	
110	11,125	93,355	100,	97,37	
111	11,13	93,352	100,	97,368	
112	11,135	93,349	100,	97,366	
113	11,14	93,346	100,	97,364	
114	11,145	93,343	100,	97,362	
115	11,15	93,34	100,	97,36	
116	11,155	93,338	100,	97,358	
117	11,16	93,335	100,	97,356	
118	11,165	93,332	100,	97,354	
119	11,17	93,329	100,	97,352	
120	11,175	93,327	100,	97,35	
121	11,18	93,324	100,	97,348	
122	11,185	93,321	100,	97,346	
123	11,19	93,318	100,	97,344	
124	11,195	93,316	100,	97,342	
125	11,2	93,313	100,	97,34	
126	11,205	93,311	100,	97,338	
127	11,21	93,308	100,	97,336	
128	11,215	93,305	100,	97,334	
129	11,22	93,303	100,	97,332	
130	11,225	93,3	100,	97,331	
131	11,23	93,298	100,	97,329	
132	11,235	93,295	100,	97,327	
133	11,24	93,293	100,	97,325	
134	11,245	93,29	100,	97,323	
135	11,25	93,288	100,	97,321	
136	11,255	93,285	100,	97,32	
137	11,26	93,283	100,	97,318	
138	11,265	93,28	100,	97,316	
139	11,27	93,278	100,	97,314	
140	11,275	93,275	100,	97,313	
141	11,28	93,273	100,	97,311	
142	11,285	93,271	100,	97,309	
143	11,29	93,268	100,	97,307	
144	11,295	93,266	100,	97,306	
145	11,3	93,263	100,	97,304	
146	11,305	93,261	100,	97,302	
147	11,31	93,259	100,	97,301	
148	11,315	93,257	100,	97,299	
149	11,32	93,254	100,	97,297	
150	11,325	93,252	100,	97,296	
151	11,33	93,25	100,	97,294	
152	11,335	93,247	100,	97,293	
153	11,34	93,245	100,	97,291	
154	11,345	93,243	100,	97,289	
155	11,35	93,241	100,	97,288	
156	11,355	93,239	100,	97,286	
157	11,36	93,236	100,	97,285	
158	11,365	93,234	100,	97,283	
159	11,37	93,232	100,	97,281	
160	11,375	93,23	100,	97,28	
161	11,38	93,228	100,	97,278	
162	11,385	93,226	100,	97,277	
163	11,39	93,224	100,	97,275	
164	11,395	93,222	100,	97,274	
165	11,4	93,22	100,	97,272	
166	11,405	93,218	100,	97,271	
167	11,41	93,216	100,	97,269	
168	11,415	93,213	100,	97,268	
169	11,42	93,211	100,	97,266	
170	11,425	93,209	100,	97,265	
171	11,43	93,207	100,	97,264	
172	11,435	93,206	100,	97,262	
173	11,44	93,204	100,	97,261	
174	11,445	93,202	100,	97,259	
175	11,45	93,2	100,	97,258	
176	11,455	93,198	100,	97,256	
177	11,46	93,196	100,	97,255	
178	11,465	93,194	100,	97,254	
179	11,47	93,192	100,	97,252	
180	11,475	93,19	100,	97,251	
181	11,48	93,188	100,	97,25	
182	11,485	93,186	100,	97,248	
183	11,49	93,185	100,	97,247	
184	11,495	93,183	100,	97,246	
185	11,5	93,181	100,	97,244	
186	11,505	93,179	100,	97,243	
187	11,51	93,177	100,	97,242	
188	11,515	93,176	100,	97,24	
189	11,52	93,174	100,	97,239	
190	11,525	93,172	100,	97,238	
191	11,53	93,17	100,	97,236	
192	11,535	93,169	100,	97,235	
193	11,54	93,167	100,	97,234	
