	Time [s]	T_couche2supp [°C]	
1	1,e-004	63,003	
2	2,e-004	63,003	
3	3,e-004	63,003	
4	4,2908e-004	63,003	
5	6,2918e-004	63,003	
6	8,1459e-004	63,003	
7	1,e-003	63,003	
8	5,1e-002	63,002	
9	6,7667e-002	63,002	
10	7,8531e-002	63,002	
11	8,9395e-002	63,002	
12	0,10179	63,002	
13	0,12762	63,002	
14	0,15587	63,002	
15	0,18945	63,002	
16	0,23232	63,002	
17	0,28962	63,001	
18	0,35399	63,001	
19	0,42436	63,001	
20	0,50595	63,001	
21	0,6067	63,001	
22	0,74119	63,	
23	0,94161	63,	
24	1,2416	63,	
25	1,5416	63,	
26	1,8416	63,	
27	2,1416	63,	
28	2,4416	63,	
29	2,7416	63,	
30	3,0416	63,	
31	3,3416	63,	
32	3,6416	63,	
33	3,9416	63,	
34	4,2416	63,	
35	4,5416	63,	
36	4,8416	63,	
37	5,1416	63,	
38	5,4416	63,	
39	5,7416	63,	
40	6,001	63,	
41	6,0011	210,	
42	6,0012	210,	
43	6,0015	210,	
44	6,002	210,	
45	6,003	209,99	
46	6,004	209,97	
47	6,007	209,91	
48	6,012	209,82	
49	6,017	209,71	
50	6,022	209,59	
51	6,027	209,46	
52	6,032	209,29	
53	6,037	209,07	
54	6,042	208,8	
55	6,047	208,48	
56	6,052	208,13	
57	6,057	207,73	
58	6,062	207,29	
59	6,067	206,81	
60	6,072	206,28	
61	6,077	205,71	
62	6,082	205,11	
63	6,087	204,47	
64	6,092	203,8	
65	6,097	203,1	
66	6,1	202,66	
67	6,15	194,41	
68	6,2	185,99	
69	6,2889	172,12	
70	6,3946	157,67	
71	6,5195	143,01	
72	6,6703	128,29	
73	6,8559	113,63	
74	7,0925	99,152	
75	7,3925	85,672	
76	7,6925	75,765	
77	7,9925	68,491	
78	8,2925	63,155	
79	8,5925	59,331	
80	8,8925	56,697	
81	9,1925	55,086	
82	9,4925	54,493	
83	9,7925	54,107	
84	10,093	53,845	
85	10,393	53,667	
86	10,693	53,544	
87	10,846	53,494	
88	11,	53,452	
89	11,001	53,452	
90	11,002	53,452	
91	11,005	53,451	
92	11,01	53,45	
93	11,015	53,448	
94	11,02	53,447	
95	11,025	53,446	
96	11,03	53,445	
97	11,035	53,443	
98	11,04	53,442	
99	11,045	53,441	
100	11,05	53,44	
101	11,055	53,438	
102	11,06	53,437	
103	11,065	53,436	
104	11,07	53,435	
105	11,075	53,434	
106	11,08	53,432	
107	11,085	53,431	
108	11,09	53,43	
109	11,095	53,429	
110	11,1	53,428	
111	11,105	53,427	
112	11,11	53,425	
113	11,115	53,424	
114	11,12	53,423	
115	11,125	53,422	
116	11,13	53,421	
117	11,135	53,42	
118	11,14	53,419	
119	11,145	53,418	
120	11,15	53,417	
121	11,155	53,416	
122	11,16	53,415	
123	11,165	53,413	
124	11,17	53,412	
125	11,175	53,411	
126	11,18	53,41	
127	11,185	53,409	
128	11,19	53,408	
129	11,195	53,407	
130	11,2	53,406	
131	11,205	53,405	
132	11,21	53,404	
133	11,215	53,403	
134	11,22	53,403	
135	11,225	53,402	
136	11,23	53,401	
137	11,235	53,4	
138	11,24	53,399	
139	11,245	53,398	
140	11,25	53,397	
141	11,255	53,396	
142	11,26	53,395	
143	11,265	53,394	
144	11,27	53,393	
145	11,275	53,392	
146	11,28	53,392	
147	11,285	53,391	
148	11,29	53,39	
149	11,295	53,389	
150	11,3	53,388	
151	11,305	53,387	
152	11,31	53,386	
153	11,315	53,386	
154	11,32	53,385	
155	11,325	53,384	
156	11,33	53,383	
157	11,335	53,382	
158	11,34	53,382	
159	11,345	53,381	
160	11,35	53,38	
