	Temps [s]	T1MID [°C]	
1	1,e-004	210,	
2	2,e-004	210,	
3	5,e-004	209,99	
4	1,e-003	209,98	
5	0,10107	202,8	
6	0,20107	194,88	
7	0,30107	187,12	
8	0,40107	179,72	
9	0,50107	172,7	
10	0,60107	166,07	
11	0,70107	159,8	
12	0,80107	153,88	
13	0,90107	148,29	
14	1,0011	143,01	
15	1,1011	138,02	
16	1,2011	133,31	
17	1,3011	128,86	
18	1,4011	124,66	
19	1,5011	120,69	
20	1,6011	116,94	
21	1,7011	113,4	
22	1,8011	110,06	
23	1,9011	106,9	
24	2,0011	103,92	
25	2,1011	101,11	
26	2,2011	98,447	
27	2,3011	95,935	
28	2,4011	93,562	
29	2,5011	91,322	
30	2,6011	89,206	
31	2,7011	87,208	
32	2,8011	85,32	
33	2,9011	83,538	
34	3,0011	81,855	
35	3,1011	80,265	
36	3,2011	78,763	
37	3,3011	77,345	
38	3,4011	76,006	
39	3,5011	74,741	
40	3,6011	73,547	
41	3,7011	72,419	
42	3,8011	71,353	
43	3,9011	70,347	
44	4,0011	69,397	
45	4,1011	68,499	
46	4,2011	67,651	
47	4,3011	66,851	
48	4,4011	66,095	
49	4,5011	65,381	
50	4,6011	64,707	
51	4,7011	64,07	
52	4,8011	63,468	
53	4,9011	62,9	
54	5,0011	62,364	
55	5,1011	61,857	
56	5,2011	61,378	
57	5,3011	60,927	
58	5,4011	60,5	
59	5,5011	60,097	
60	5,6011	59,716	
61	5,7011	59,356	
62	5,8011	59,017	
63	5,905	58,684	
64	5,906	58,681	
65	5,907	58,691	
66	5,91	58,789	
67	5,915	59,101	
68	5,92	59,546	
69	5,925	60,106	
70	5,93	60,772	
71	5,935	61,525	
72	5,94	62,352	
73	5,945	63,244	
74	5,95	64,19	
75	5,955	65,182	
76	5,96	66,213	
77	5,965	67,277	
78	5,97	68,369	
79	5,975	69,485	
80	5,98	70,619	
81	5,985	71,77	
82	5,99	72,934	
83	5,9901	73,029	
84	5,9902	73,128	
85	5,9903	73,227	
86	5,9906	73,522	
87	5,991	73,914	
88	6,0914	105,51	
89	6,1914	116,47	
90	6,2914	120,34	
91	6,3914	121,36	
92	6,4914	121,06	
93	6,5914	120,05	
94	6,6914	118,66	
95	6,7914	117,06	
96	6,8914	115,34	
97	6,9914	113,57	
98	7,0914	111,78	
99	7,1914	110,	
100	7,2914	108,25	
101	7,3914	106,53	
102	7,4914	104,86	
103	7,5914	103,24	
104	7,6914	101,66	
105	7,7914	100,13	
106	7,8914	98,652	
107	7,9914	97,22	
108	8,0914	95,835	
109	8,1914	94,494	
110	8,2914	93,196	
111	8,3914	91,941	
112	8,4914	90,726	
113	8,5914	89,552	
114	8,6914	88,416	
115	8,7914	87,317	
116	8,8914	86,254	
117	8,9914	85,225	
118	9,0914	84,231	
119	9,1914	83,269	
120	9,2914	82,338	
121	9,3914	81,438	
122	9,4914	80,568	
123	9,5914	79,726	
124	9,6914	78,911	
125	9,7914	78,124	
126	9,8914	77,362	
127	9,9914	76,625	
128	10,091	75,912	
129	10,191	75,222	
130	10,291	74,555	
131	10,391	73,91	
132	10,491	73,286	
133	10,591	72,682	
134	10,691	72,098	
135	10,791	71,533	
136	10,891	70,986	
137	10,991	70,458	
138	11,091	69,946	
139	11,191	69,452	
140	11,291	68,973	
141	11,391	68,51	
142	11,491	68,063	
143	11,553	67,792	
144	11,615	67,526	
145	11,616	67,522	
146	11,617	67,517	
147	11,62	67,505	
148	11,625	67,484	
149	11,63	67,464	
150	11,635	67,446	
151	11,64	67,43	
152	11,645	67,417	
153	11,65	67,407	
154	11,655	67,401	
155	11,66	67,401	
156	11,665	67,406	
157	11,67	67,417	
158	11,675	67,435	
159	11,68	67,459	
160	11,685	67,491	
161	11,69	67,532	
162	11,695	67,581	
163	11,7	67,639	
164	11,7	67,64	
165	11,7	67,641	
166	11,7	67,643	
167	11,701	67,647	
168	11,701	67,65	
169	11,801	72,51	
170	11,901	78,092	
171	12,001	83,034	
172	12,101	86,966	
173	12,201	89,923	
174	12,301	92,069	
175	12,401	93,556	
176	12,501	94,517	
177	12,601	95,067	
178	12,701	95,294	
179	12,801	95,277	
180	12,901	95,067	
181	13,001	94,706	
182	13,101	94,228	
183	13,201	93,662	
184	13,301	93,032	
185	13,401	92,353	
186	13,501	91,641	
187	13,601	90,906	
188	13,701	90,157	
189	13,801	89,401	
190	13,901	88,643	
191	14,001	87,888	
192	14,101	87,138	
193	14,201	86,397	
194	14,301	85,667	
195	14,401	84,947	
196	14,501	84,241	
197	14,601	83,548	
198	14,701	82,869	
199	14,801	82,204	
200	14,901	81,553	
201	15,001	80,917	
202	15,101	80,296	
203	15,201	79,689	
204	15,301	79,097	
205	15,401	78,518	
206	15,501	77,954	
207	15,601	77,403	
208	15,701	76,865	
209	15,801	76,341	
210	15,901	75,83	
211	16,001	75,331	
212	16,101	74,844	
213	16,201	74,37	
214	16,301	73,907	
215	16,401	73,455	
216	16,501	73,015	
217	16,601	72,586	
218	16,701	72,168	
219	16,801	71,759	
220	16,901	71,361	
221	17,001	70,973	
222	17,101	70,595	
223	17,201	70,226	
224	17,263	70,001	
225	17,325	69,78	
226	17,326	69,777	
227	17,327	69,773	
228	17,33	69,762	
229	17,335	69,745	
230	17,34	69,727	
231	17,345	69,709	
232	17,35	69,691	
233	17,355	69,674	
234	17,36	69,656	
235	17,365	69,638	
236	17,37	69,621	
237	17,375	69,603	
238	17,38	69,586	
239	17,385	69,569	
240	17,39	69,552	
241	17,395	69,535	
242	17,4	69,519	
243	17,405	69,503	
244	17,41	69,487	
245	17,41	69,487	
246	17,41	69,487	
247	17,41	69,486	
248	17,411	69,485	
249	17,411	69,484	
250	17,512	69,777	
251	17,612	70,718	
252	17,712	72,111	
253	17,812	73,725	
254	17,912	75,374	
255	18,012	76,94	
256	18,112	78,353	
257	18,212	79,582	
258	18,312	80,62	
259	18,412	81,47	
260	18,512	82,147	
261	18,612	82,664	
262	18,712	83,04	
263	18,812	83,291	
264	18,912	83,433	
265	19,012	83,481	
266	19,112	83,447	
267	19,212	83,343	
268	19,312	83,181	
269	19,412	82,968	
270	19,512	82,713	
271	19,612	82,423	
272	19,712	82,104	
273	19,812	81,761	
274	19,912	81,399	
275	20,012	81,022	
276	20,112	80,632	
277	20,212	80,234	
278	20,312	79,829	
279	20,412	79,42	
280	20,512	79,008	
281	20,612	78,595	
282	20,712	78,182	
283	20,812	77,771	
284	20,912	77,362	
285	21,012	76,957	
286	21,112	76,555	
287	21,212	76,157	
288	21,312	75,764	
289	21,412	75,376	
290	21,512	74,994	
291	21,612	74,618	
292	21,712	74,247	
293	21,812	73,883	
294	21,912	73,524	
295	22,012	73,172	
296	22,112	72,826	
297	22,212	72,487	
298	22,312	72,154	
299	22,412	71,827	
